user_id,num_topics,tweets_per_day,delta_following_changes,delta_followers_changes,delta_bio_changes,activity_level,kmeans_cluster,pca1,pca2
@MadhusudanAch12,12,21.38888888888889,132,29,-3,high,3,1.8406762642191847,1.7775211943234714
@HopewellGMaria,12,15.86111111111111,22,68,0,high,0,1.2731628208758174,1.7446379571241764
@kinolina,12,1.82089552238806,4,6,0,medium,0,0.7083932801460705,1.0933085205216566
@graham_joa44624,12,20.33333333333333,0,11,0,high,3,1.1809697403870187,2.0961843134508293
@jamesagustusm,12,13.333333333333334,8,27,0,high,0,1.065786245606913,1.6833434328541765
@CuriousCats_US,12,12.8125,0,14,-4,high,0,1.1354061132732733,1.5527114120765282
@chelseyydodd,12,39.333333333333336,-5,-4,0,high,3,1.6181486769872553,3.1509615942353606
@ruedaruntzinc,12,1.1216216216216215,0,-128,0,medium,0,0.37915586013745045,1.2213824748076292
@tultican,12,5.416666666666667,4,12,0,high,0,0.8141764968077494,1.2806681659114851
@Global_NewsWire,12,19.63157894736842,-9,126,4,high,3,1.242899916730605,2.073088944532754
@AmphiVC,12,38.0,0,0,0,high,3,1.6111349619098998,3.064497149880334
@DealMav,12,8.423076923076923,-20,-61,0,high,0,0.6414951668675782,1.5756938485582022
@connorgpt,12,5.371428571428571,0,7,0,high,0,0.7871990622094484,1.2918379686604136
@TOPXNews,12,7.857142857142857,4,21,0,high,0,0.8968758149016122,1.402013817857457
@ThomaMore,12,24.384615384615383,78,28,0,high,3,1.6104415649881052,2.144766974894171
@CharlesBLedford,11,43.0,6,21,0,high,3,1.6831041225148546,3.1285668629672876
@iakashdigital,11,11.058823529411764,715,509,0,high,7,4.555632191754122,-0.5420121727330758
@kozkyle21,11,1.6,-202,-148,78,medium,8,-3.277980826580797,4.088675629498728
@intel_finance,11,14.25925925925926,0,30,0,high,0,0.9414890746050734,1.5753532057297004
@nebel73794,11,1.831460674157304,0,24,0,medium,0,0.6084871844268436,0.910399944278198
@ThanRuabk,11,30.11111111111111,0,5,0,high,3,1.2939878366758304,2.462055138865291
@EpicPlain,11,1.0784313725490196,-2,14,0,medium,0,0.5596124524831066,0.8853407484961229
@FastNews77,11,9.45,68,98,0,high,0,1.2189788814086435,1.1038852764806575
@CryptoMilox,11,9.773584905660377,1,17,0,high,0,0.8010105236242729,1.3462061329957056
@AIDE_ink,11,3.830188679245283,0,12,0,medium,0,0.633355821009242,1.0326463220876565
@cryptoceannews,11,12.10344827586207,-1,25,0,high,0,0.8712763354028239,1.466607809685621
@Redzee98,11,9.25,123,48,0,high,0,1.3060166685268049,1.046021582496044
@collegeadvice,11,1.3614457831325302,-4,-2,0,medium,0,0.5241156856916085,0.923388204111864
@ObserveLebanon,11,12.3,0,233,0,high,0,1.3402549054081052,1.2297852026262373
@Abdul_8515,11,1.8333333333333333,-56,27,0,medium,0,0.4086694015251453,1.0149570603997333
@Navroze_India,11,7.523809523809524,0,1,0,high,0,0.7040410751116276,1.2453639651952473
@julianawriter,11,3.03125,8,25,0,medium,0,0.6710670013661025,0.9586702408388861
@keyboard_karate,11,1.6271186440677967,0,0,0,medium,0,0.5501261773846939,0.9276796467836654
@MrStealth27,11,13.44186046511628,1,-356,9,high,0,-0.24783097937142662,2.284649723662436
@Matthew78954477,11,2.415841584158416,0,51,0,medium,0,0.6832633229301263,0.910129726507397
@relegoai,11,5.166666666666667,8,12,-17,high,0,1.2976981735766302,0.5232135029283894
@fluteplay,11,12.2,7,10,4,high,0,0.7287864861636321,1.607347846735751
@bpaynews,11,3.575916230366492,3,130,0,medium,0,0.8989714517199107,0.8738240391432714
@DeepFlowcc,11,5.235294117647059,1,-228,3,high,0,0.03618911965590555,1.489925412904506
@AWN_English,11,14.285714285714286,0,40,0,high,0,0.9642963271646928,1.5649797923656559
@SolomonArv40603,11,63.66666666666666,0,-14,0,high,10,2.115219969683907,4.299005937488279
@1AIsFreeSpeech,11,1.105263157894737,0,0,0,medium,0,0.5367005724338421,0.8994602090189001
@kttk2345678,10,5.305555555555555,79,177,0,high,0,1.2024643579833294,0.5953617197253828
@NCThirdAge,10,6.916666666666667,33,6,0,high,0,0.695918873222582,0.9730426838139984
@MonicaSager3,10,1.1607142857142858,-10,8,31,medium,8,-0.7012568538705103,1.7749730166182474
@CALIVEDATA,10,86.0,2,38,0,high,10,2.68696045352204,5.271500804942123
@goodvibe1771,10,6.478260869565218,121,-4,0,high,0,0.9870197148900094,0.791430137980762
@greeny08111958,10,13.076923076923077,-2,8,0,high,0,0.7297621276808146,1.3712971150332647
@Carol83478741,10,9.714285714285714,0,0,0,high,0,0.6329264780959458,1.1950479821475133
@Eco_Promos,10,1.52,-9,7,0,medium,0,0.40441529798116393,0.7610342609273929
@KenslowMatthew,10,2.763157894736842,31,14,0,medium,0,0.5993890961151507,0.7428547403537462
@TPerdrozo,10,11.25,-7,3,0,high,0,0.6532602972170642,1.2880504716028431
@sinardailymy,10,8.7,0,-200,0,high,0,0.1642992267602397,1.376279765381598
@thenewsdrum,10,73.0,-1,37,0,high,10,2.33923833965079,4.575489208627233
@ASEANNOWTH,10,1.4,0,0,0,medium,0,0.41902757618520897,0.7454513514914998
@DomPachino101,10,2.2051282051282053,0,0,0,medium,0,0.43974084547764886,0.7889888170911966
@AllSidesNow,10,3.75,0,0,0,medium,0,0.4794852555053399,0.8725280623899778
@Fintech_Central,10,2.581818181818182,0,0,0,medium,0,0.44943182497289574,0.8093584014597867
@Bob_Mayer,10,2.282051282051282,0,0,0,medium,0,0.44171982025081186,0.7931484475625051
@kubzAKAglazek,10,1.0298507462686568,1,0,0,medium,0,0.41319243836773095,0.7235069393578931
@viralposts2323,10,16.0,2921,3002,-69,high,2,20.64560772213246,-9.940216975223805
@R9stS48031,10,2.8684210526315788,0,0,0,medium,0,0.4568051630392213,0.8248565079095858
@AnaCatCoin,10,1.5964912280701755,0,0,0,medium,0,0.42408264157069214,0.756076653186632
@AnandYadav002,10,4.305555555555555,33,-47,0,medium,0,0.5114724142974844,0.8944074011444163
@visakhabar,10,2.72,0,-2,-34,medium,0,1.6494787658098626,-0.31335855342716706
@hondo750,10,5.102564102564102,284,45,0,high,0,1.6611222287434235,0.34485105374778496
@AngryBMBC2023,10,7.6,37,185,0,high,0,1.1243161329451234,0.7909888567310495
@CKatAkulmach,10,2.254237288135593,0,0,0,medium,0,0.44100425875091104,0.7916444003864388
@lizmoneyweb,10,5.6,223,347,9,high,0,1.7993128263676514,0.43270225265449186
@BinaryAI_TON,10,3.508771929824561,0,-81,0,medium,0,0.2940533726181645,0.9550957974598793
@graceundissed,10,2.810810810810811,5,23,0,medium,0,0.5246521978280737,0.784949489126383
@hcrubin2009,10,9.5,2,34,0,high,0,0.7100193805034313,1.1394698908689678
@3Xtraders,10,26.875,-12,50,0,high,3,1.1407969628181958,2.0871393259882063
@predict_addict,10,3.1153846153846154,41,0,0,medium,0,0.6143491099993768,0.7591418466871819
@AnirudhDevShar1,10,5.333333333333333,0,0,0,high,0,0.5202191529196126,0.9581471229244134
@IndependentGulf,10,2.9166666666666665,3,17,0,medium,0,0.5067243837679537,0.8016130870415025
@lawhauz,10,2.740740740740741,9,6,0,medium,0,0.4999845009788797,0.7935131177612895
@MaureenHSulliv2,10,22.33333333333333,8,19,0,high,3,1.0291137831973476,1.8395697571436032
@IndiaPulseNow,10,12.15,128,484,0,high,0,2.238528337132318,0.5085969768700487
@BharatStockLive,10,16.2,7,494,39,high,8,0.5411291635903291,2.2482497258682295
@1oomtelgue,10,2.6818181818181817,45,2,0,medium,0,0.6223705016775607,0.7256217873690904
@BarlamanToday,10,4.615384615384615,0,0,0,medium,0,0.5017487217034242,0.9193239051921998
@BajajBroking,10,6.352941176470588,0,141,-43,high,0,2.377243263637025,-0.5854960126455028
@JackPolakoff,10,4.081081081081081,-1,42,0,medium,0,0.5772472408910179,0.8427831641709862
@yespunjab,10,41.5,0,0,0,high,3,1.450667125435103,2.913866716184679
@BenyoubHassan,10,3.0869565217391304,0,0,0,medium,0,0.46242735338448887,0.8366738562622852
@obrandoncollins,10,1.2666666666666666,15,6,25,medium,0,-0.3988405315262055,1.5349884837696408
@mugambi_evan,10,5.255813953488372,163,169,0,high,0,1.4932392839154576,0.44011954621181076
@zooppress,10,23.571428571428573,0,-1,0,high,3,0.9872119826701832,1.9455560973183506
@newstrack_eng,10,4.4,0,1,0,medium,0,0.4984202576155584,0.9064965424617211
@TNelson12598,10,8.133333333333333,3,172,0,high,0,0.9838949742348541,0.9007437614944921
@The_Advisor_SC,10,6.2,2,0,0,high,0,0.5498907433170528,1.001155255617523
@ExgayNews,10,35.333333333333336,2,6,-63,high,4,3.537899586327581,0.4709151322344569
@stockaajorkal,10,2.8115942028985508,0,68,0,medium,0,0.6058044361478098,0.7415165609296023
@Denise348495176,10,1.8297872340425527,0,0,0,medium,0,0.43008457140717943,0.7686921804652368
@DVDfever,10,10.22222222222222,99,73,0,high,0,1.1725880529589983,0.9454223919048972
@FarrarN57854,10,3.238095238095238,21,27,-126,medium,4,5.053954873413028,-3.4246198150821106
@ClutchPlaySport,10,95.0,0,5,0,high,10,2.8381074065549523,5.800987721925745
@dramasodacoin,10,127.0,0,31,0,high,10,3.7188902093925362,7.500703665308949
@CleanAirMoms,10,5.555555555555555,0,0,0,high,0,0.5259361911531947,0.9701638331748605
@TheLayoffBot,10,7.863636363636363,0,25,0,high,0,0.6406320610949403,1.0654638202784585
@WellsJorda89710,10,15.294117647058824,376,361,0,high,7,2.9617757111807417,0.345532013640711
@Doc_Gadget_UK,10,1.0104166666666667,0,0,0,medium,0,0.4090048935319603,0.7243845563336847
@thinkers360,10,1.6333333333333333,-3,31,0,medium,0,0.4825603779874775,0.7272621334446692
@Sandy5Suzi,10,13.916666666666666,0,-4,0,high,0,0.7321890935837592,1.427014145991191
@dataclaudius,10,5.882352941176471,11,-2,0,high,0,0.57048154684183,0.9689825556577476
@GatewayHispanic,10,6.294117647058823,14,94,0,high,0,0.8045534609131039,0.8721451055228686
@GlobalPulse_Vir,10,3.933333333333333,0,564,0,medium,0,1.7321450282708055,0.21669770864718776
@RPRealtyPlus,10,1.5,2,61,0,medium,0,0.5639479665732241,0.6749975917608789
@CindyJurie,10,2.2,2,-2,0,medium,0,0.4425587245585931,0.7872152659311042
@varindiamag,10,1.4339622641509433,-4,-9,0,medium,0,0.38523704215127763,0.7656255188509786
@raisinadialogue,9,5.6,0,0,0,high,0,0.4018240044730533,0.8026203651548515
@indianmarketrac,9,16.833333333333332,0,33,0,high,0,0.7638382413213229,1.3711119537580718
@MiloX_Viral,9,9.6875,0,33,0,high,0,0.5799997306226979,0.9846996147671324
@MarketJournalX,9,14.526315789473683,1,97,0,high,0,0.8497845059249068,1.1688855746714557
@marketsday,9,26.9375,-44,0,0,high,3,0.7885137610614801,2.04130468275492
@mark_melbin,9,1.8679245283018868,48,91,0,medium,0,0.6841660538240796,0.4008225928706216
@michaelmesser60,9,11.714285714285714,581,65,0,high,7,2.8454260145952137,-0.06394359826722469
@mfrakes55,9,9.608695652173912,194,98,0,high,0,1.4371843048019453,0.5295798059873179
@BeiingSelf,9,3.423076923076923,0,0,0,medium,0,0.34581901839253926,0.6849028228168178
@mirror7news,9,31.666666666666668,0,0,0,high,3,1.0724325892722362,2.2121804775322964
@LAMuscle,9,4.411764705882353,0,0,0,medium,0,0.37125466474172303,0.738366308580402
@of_books59328,9,9.055555555555555,77,67,0,high,0,0.922915462092722,0.7618976476048143
@washington_EY,9,4.857142857142857,8,0,0,medium,0,0.4122133275238154,0.7470220703259631
@NaveenSankarS,9,8.833333333333334,-73,0,0,high,0,0.21581425381552366,1.118245360151503
@itsme_krrishm,9,2.45,-1,36,0,medium,0,0.3967533668404574,0.591717709207257
@Natalie49229738,9,21.0,13,10,0,high,3,0.8680798251922556,1.5985036690590682
@BradSmithTX,9,1.8571428571428568,0,1,0,medium,0,0.307745411501568,0.5990442336686493
@AponiaAnalytics,9,1.422077922077922,857,170,0,medium,7,3.83074111165997,-1.2767096264878608
@ArraourAli,9,1.4324324324324325,71,272,0,medium,0,1.1582688314225131,0.11926541225549035
@paulinepark,9,9.142857142857142,6,5,0,high,0,0.5261586785556686,0.9767279610998614
@littlejoe616,9,1.164835164835165,2298,434,-25,medium,6,10.605083477715667,-5.2139976808720085
@BlackMamba_term,9,1.451851851851852,0,-2,0,medium,0,0.29068062689220564,0.5806692353014681
@MailMyStatement,9,2.227272727272727,4,-6,0,medium,0,0.31652924692072737,0.6196077862968211
@BlueMooGuns,9,2.345454545454545,-204,1101,0,medium,0,2.001975439635348,-0.27956956498011204
@Mb51082451,9,26.5,1,58,0,high,3,1.071533607050148,1.8624003957403399
@R4F4Santos,9,25.5,-4,-5,0,high,3,0.8879711693324392,1.8923328297037303
@AnalystBunny,9,1.6986301369863013,0,0,0,medium,0,0.3014547414571787,0.591653024648372
@PNUKcom,9,14.2,2,41,0,high,0,0.7211678017557703,1.2154137207201232
@iam_1stewart,9,18.9,1,0,0,high,3,0.7476763133961782,1.5198919550022933
@hekasia,9,4.642857142857143,1,53,0,medium,0,0.49815873440501,0.6863730960182944
@AndonToken,9,5.017857142857143,0,286,0,high,0,1.0196696753197803,0.4335472164879498
@rareinfinitive,9,3.0476190476190474,29,5,0,medium,0,0.4541626118003907,0.602770836897234
@proptechbuzz,9,1.4830508474576272,0,31,0,medium,0,0.3645012273611732,0.5434032125509358
@FatimaK6992408,9,1.8285714285714283,0,0,0,medium,0,0.30479769845168814,0.598679625475835
@cryptonews66,9,3.810810810810811,115,69,54,medium,8,-0.9748006128867941,2.201398360330343
@salmasayedsaad,9,33.333333333333336,-4,-6,0,high,3,1.0872841017892183,2.317102263442805
@ceanglobal,9,20.83333333333333,20,24,0,high,3,0.9205823548975831,1.559465942127109
@CryptoforniaX,9,1.5,0,0,0,medium,0,0.2963446490634632,0.5809120610341025
@uniworldnews,9,5.055555555555555,0,0,0,high,0,0.3878172608007771,0.773179425041256
@RandomNYC2024,9,3.128205128205128,4,10,0,medium,0,0.3751098837715944,0.6494395240013876
@futuretrade_1,9,22.125,51,335,0,high,3,1.7562662307146728,1.2024253977981776
@PriorConsults,9,2.828125,-2,56,0,medium,0,0.4470469996063662,0.5904854631683092
@fionapettit71,9,1.4893617021276595,37,18,0,medium,0,0.47233904984844427,0.4877344498483046
@CoinHDMedia,9,12.0,0,0,0,high,0,0.5664747056002185,1.148701620367728
@researchhires,9,4.047619047619048,0,47,0,medium,0,0.4658816768313073,0.6631963823827298
@ferozwala,9,14.77777777777778,-2,194,0,high,0,1.059819605969723,1.0737704380839272
@dqc1985,9,42.5,-1,13,0,high,3,1.376215281117009,2.7845784545428205
@twisted_eagle,9,4.0,3,-8,0,medium,0,0.3540227189050411,0.7197576747126975
@SevenXtrem68,9,19.22222222222222,17,-12,0,high,3,0.7884151658027426,1.520624655526143
@AlexanderA54129,9,1.654867256637168,0,0,0,medium,0,0.3003288681864242,0.5892865383104097
@Shaco_Ai,9,22.714285714285715,-2,25,0,high,3,0.89005911107194,1.7024258237418406
@DianneS31066,9,5.636363636363637,0,0,0,high,0,0.4027595198203668,0.8045867359231065
@DonovanSea9133,9,3.0,0,0,0,medium,0,0.3349346571401425,0.6620248552246204
@ai_shopper,9,122.0,0,4,0,high,10,3.4052592923313316,7.092251604695783
@SnoopysSopwith,9,7.391304347826087,26,8,0,high,0,0.5614864629133534,0.8399008351129561
@alfonso73202912,9,41.66666666666666,-5,-1,0,high,3,1.3090487912902664,2.7637554294223157
@acemaxx,9,10.85,0,72,0,high,0,0.6962009326847621,1.0015265312430162
@Deccan_Daily,9,1.875,1,2,0,medium,0,0.3141050522798493,0.5969009461182857
@Yeesuus92,9,36.2,0,2,0,high,3,1.193485499791293,2.454960571819788
@stockse_,9,5.733333333333333,0,14,0,high,0,0.4362315412910726,0.7933048275537159
@AVarchavsky,9,2.542372881355932,0,0,0,medium,0,0.32316143433708777,0.6372785790309031
@statpro_ai,9,1.3785714285714286,0,-13,0,medium,0,0.2644560474278052,0.5896909535592687
@Entheos_11,9,2.2564102564102564,-2,-36,0,medium,0,0.22877347640809764,0.6681664380749285
@TVivlia,9,9.75,0,23,0,high,0,0.5594809948559858,0.9998832886332162
@BAMBossie81,9,2.595238095238096,-3,33,0,medium,0,0.3864767225685352,0.6069697172084484
@zismo64,9,10.0,-8,13,0,high,0,0.5142854449529792,1.0406342109076514
@EnglishSalar,9,12.142857142857142,0,9,0,high,0,0.5900639319575806,1.1458030716885415
@techday,9,2.833333333333333,111,-1,0,medium,0,0.7377545545870418,0.44012715070590497
@nadeemtanoli11,9,5.583333333333333,22,3,0,high,0,0.4891597765876751,0.7557505095336486
@yourememberkobe,9,1.9615384615384608,0,237,0,medium,0,0.8326201683492396,0.32611565749890464
Max@TopDomains,9,4.918367346938775,0,0,0,medium,0,0.38428786474841264,0.7657609457539902
@poordad00,8,1.029126213592233,20,21,0,medium,0,0.27919242293772745,0.3221439401494884
@Motor_City_DET,8,2.789473684210526,40,93,0,medium,0,0.5575436178183717,0.29377608845987263
@thewild_news,8,2.4761904761904763,28,4,0,medium,0,0.3083058260955249,0.4050328308071892
@bspence5,8,6.7368421052631575,-2,-1,0,high,0,0.29622776759874475,0.6991859495867521
@DGBoudreau,8,6.529411764705882,538,112,0,high,7,2.5322105989005843,-0.48681586076483746
@D_sNotHere,8,1.1842105263157894,1,30,0,medium,0,0.23303237146289243,0.35654843227343086
@cmunell,8,14.76923076923077,0,-1,0,high,0,0.5102495378302397,1.129681904675554
@Sharemarketinf,8,8.789473684210526,1,261,0,high,0,0.9398161615733661,0.49513272723596485
@FaisalOnAI,8,3.076923076923077,-4,98,0,medium,0,0.4137489521585978,0.3882728039332726
@johanabrahams2,8,3.651515151515152,125,46,0,medium,0,0.7891693125985888,0.23194574362782056
@jobaandthemouth,8,2.548387096774193,0,0,0,medium,0,0.19806056575794062,0.46765698883909734
@BusinessIdeaGod,8,32.0,0,0,0,high,3,0.9557525522957518,2.0602587328378688
@charlesBBM12,8,2.86,16,16,0,medium,0,0.30048110344973833,0.43476486085463434
@Wfinancenews,8,4.127272727272727,367,273,0,medium,7,2.196076085265682,-0.47697929572881154
@wkrauss687,8,14.166666666666666,41,42,0,high,0,0.7410825720570283,0.9672717796707776
@lamarlofton,8,8.6875,3,77,0,high,0,0.5374374483620168,0.7029545665687305
@laignel_pierre,8,1.175,2,0,0,medium,0,0.1701030276064616,0.3895337749390911
@labor_against,8,3.1052631578947367,3,11,0,medium,0,0.24778916353211058,0.4790002436182173
@ArgaamPlus,8,4.166666666666667,0,0,0,medium,0,0.23969351353959106,0.5551657739693693
@ArabCenterWDC,8,5.157894736842105,-1,33,0,high,0,0.33452489652631723,0.5717420303556424
@peaceinhand,8,5.466666666666667,0,0,0,high,0,0.2731381872060465,0.6254635289344849
@kArEn_Magnet_,8,8.428571428571429,31,0,0,high,0,0.46365282960250226,0.7258450319476862
@DailyFinanc,8,3.783783783783784,-6,0,12,medium,0,-0.21613538200096563,0.9457559336445694
@asset_wave,8,5.357142857142857,0,-366,0,high,0,-0.5395149873019616,1.0515664598120344
@skillexchange_x,8,7.6923076923076925,-1,8,0,high,0,0.3444102755489213,0.738300843259648
@thevoicetruth1,8,2.25,104,0,0,medium,0,0.5738914056713774,0.2509557093102879
@BreakingSignals,8,5.428571428571429,0,0,0,high,0,0.272158123508861,0.6234035214629796
@Brian9749576961,8,7.4,0,0,0,high,0,0.32287641983821097,0.7300089081133746
@adriananglin,8,1.2857142857142858,0,-6,11,medium,0,-0.23623186709796973,0.7728733153107178
@PiyushRala007,8,20.357142857142858,1779,2126,0,high,6,11.92053513804061,-4.509690609825223
@Great_GER_Again,8,9.5,4,28,0,high,0,0.45360734147424164,0.8028016179100238
@Randyleary047,8,3.75,-128,56,0,medium,0,-0.11912571997096592,0.7133825733967508
@ORFKolkata,8,31.666666666666668,0,19,0,high,3,0.989217635208202,2.019806116656721
@gaochuck197792,8,2.230769230769231,-2,1,0,medium,0,0.18472683907217533,0.45315838031425554
@vartha24,8,50.86666666666667,424,176,-8,high,3,3.6766569193550014,1.7885532414604512
@ErikSchreiber5,8,2.1627906976744184,0,0,0,medium,0,0.18814045365420812,0.44680578793190745
@tech_warfare,8,1.6875,0,2,0,medium,0,0.18033813630017195,0.4187435554161898
@HealthDailyNow,8,1.5471698113207548,33,2,0,medium,0,0.29841773878390176,0.34751405776085575
@Bernardoca53972,8,3.3389830508474576,0,0,0,medium,0,0.21839996859332544,0.5104086201128312
@orfonline,8,46.5,1,0,0,high,3,1.3324768676802203,2.8424205580377246
@AscendRebel,8,3.25,186,332,-15,medium,0,2.166420204077716,-0.7446539570944638
@InsideDashboard,8,7.542857142857143,14,224,0,high,0,0.8738146697538645,0.44632565512361994
@PPSDI_Official,8,4.785714285714286,0,4,0,medium,0,0.2644702097268184,0.5839193057380707
@PCadfael,8,4.125,12,38,0,medium,0,0.36695369711526055,0.4849153154846526
@Officialwfuture,8,4.95,53,150,0,medium,0,0.7871871089530255,0.31825357796370746
@mavi7377664576,8,17.625,0,42,0,high,0,0.6788635831945181,1.2333510972578605
@NoWar28052360,8,2.1739130434782608,8,-1,0,medium,0,0.21571449446603136,0.4331594792389206
@CozzyEnergySol,8,6.0,0,0,0,high,0,0.2868590789666436,0.6543036335355579
@coindoo,8,5.896551724137931,1,634,0,high,0,1.6907150553546313,-0.10159082936892957
@sandrinorusso74,8,8.866666666666667,593,99,-28,high,7,3.755382854451784,-1.3838399037248568
@CritMinJrnl,8,4.9375,9,78,0,medium,0,0.46530051730671873,0.48742107183071876
@dailystarnews,8,13.333333333333334,0,0,0,high,0,0.4755213406748537,1.0508550718003122
@rymondIncKenya,8,1.8888888888888888,6,16,0,medium,0,0.2386219399366352,0.40153702347835124
@iamanjiiii,8,1.84,146,18,0,medium,0,0.7580494121321179,0.12653994254723405
@FundedNext,8,4.727272727272728,-3,0,-78,medium,4,2.9980989304559764,-2.00693663369204
@republic,8,27.666666666666668,0,0,0,high,3,0.8442703067409006,1.8259328829541501
@indicanews1,8,3.7,8,5,0,medium,0,0.26825162477990155,0.508600546254821
@iiamguri9,8,1.0546218487394958,2,181,0,medium,0,0.5674985135221811,0.1693723714428378
@SUPERFRENCHBIGZ,8,12.5,2,60,0,high,0,0.5942175052048332,0.931111526428628
@VeedusM,8,1.1139240506329111,0,2,0,medium,0,0.16558193595439527,0.3877273234604274
@PriceVPartners,8,4.340425531914893,303,7,0,medium,0,1.3769863127209236,-0.028042111659799716
@JinJooWon,8,2.7857142857142856,0,0,-1,medium,0,0.23948730195988582,0.4471802102264831
@ET_Government,8,2.857142857142857,0,0,0,medium,0,0.20600382394883926,0.4843530171363775
@UofT_TCAIREM,8,5.375,26,20,0,high,0,0.4109100511986161,0.5467572030526405
@leanpub,8,12.5,0,9,0,high,0,0.4739964347918371,0.9951688316638045
